ID,HEADWORD,POS,ENGLISH,JAPANESE,SPANISH,INDONESIAN,EXAMPLE (KO),EXAMPLE (EN),EXAMPLE (JA),EXAMPLE (ES),EXAMPLE (ID),
120,그렇지만,ADV,"but, though","だが, でも","pero, a pesar de",bagaimanapun,그렇지만 당신한테 잘 어울려요. ,"It looks really good on you, though.",でもあなたによく似合います。 ,Pero te queda bien.,"Bagaimanapun, itu terlihat sangat bagus untukmu. ",
121,그룹,NOUN,group,グループ,grupo,kelompok,6명씩 그룹으로 하세요.,Work in groups of six.,6人ずつグループとして下さい。,Divídansen en grupos de seis.,Kerja kelompok 6(enam) orang.,
122,그릇,NOUN,"bowl, container",器; 杯,"vajilla, plato, molde",mangkuk,한 그릇에 5천 원입니다.,"This costs 5,000 won per bowl.",一杯に五千ウォンです。,Esto cuesta 5.000 won por vajilla.,Harganya 5000 Won per mangkuk.,
123,그리고,ADV,and,そして,y,dan ,"우유, 버터 그리고 잼이 필요해.","We need milk, butter and jam.","牛乳, バターそしてジャムが必要なの。","Necesitamos leche, mantequilla y jamón.","Kita memerlukan susu, mentega, dan selai",
124,그리다,VERB,"to draw, to paint",描く,dibujar,"menggambar, melukis",이거 어떻게 그렸어?,How did you draw this?,これどうやって描いたの?,¿Cómo dibujaste esto?,Bagamana anda menggambar ini?,
125,그림,NOUN,"picture, drawing, painting",絵,dibujo,"foto, gambar, lukisan",엄마가 나한테 그림책을 사 주셨어.,My mom bought me a picture book.,ママが私に絵本を買ってくれたの。,Mi mamá me compró un libro de dibujos.,Ibu membelikan saya buku bergambar.,
126,그만,ADV,to that extent only,その度で; それくらいに,"basta, parar de...",,그만 울어라.,Stop crying.,泣きやみなさい。,Para de gritar.,Berhentilah mengangis,
127,그분,PRONOUN,"he, she (honorific of 그 사람)",その方,"él, ella (término superior a él o ella)",dia (perempuan) (sebutan kehormatan pada 그 사람),그분이 너를 아니?,Does he know you?,その方がお前を知っているのか?,¿Él te conoce?,Apakah dia mengenal anda?,
128,그쪽,PRONOUN,"there, that way","そちら, そっちの方","por esa dirección, por ese lado","disana, kearah sana ",그쪽으로 가는 버스가 있나요?,Is there a bus going that way?,そっちの方へ行くバスがありますか?,¿Hay un autobús que va por esa dirección?,Adakah bis yang pergi kesana?,
129,극장,NOUN,"theater, cinema",映画館,cine,bioskop,극장 가고 싶어.,I want to go to the movie theater.,映画館行きたい。,Quireo ir al cine.,Saya ingin pergi ke bioskop.,
130,근처,NOUN,"neighborhood, vicinity",近く,"vecindad, cercanía",linkungan tempat tinggal,이 근처에 사니?,Do you live in this neighborhood?,この近くに住んでるの?,¿Vives en esta vecindad?,Apakah kamu tinggal di lingkungan ini?,
131,글,NOUN,writing,"文, 文章",redacción,menulis,말하고 글 중에 어느 것이 더 중요한가요?,Which one is more important between speaking and writing?,言葉と文章のうちどちらがより重要でしょうか?,¿Qué es más importante enre leer y redactar?,Yang mana yang lebih penting antara berbicara dan menulis?,
132,기계,NOUN,machine,機械,máquina,mesin,이 기계 고장 난 것 같아.,This machine seems to be broken.,この機械故障したようなの。,Esta máquina parece estar rota.,Mesin ini sepertinya rusak. ,
133,기다리다,VERB,to wait ,待つ,esperar,menunggu,여기서 기다릴게.,I'll wait here.,ここで待ってるよ。,Esperaré aquí.,Saya akan menunggu disini.,
134,기르다,VERB,"to raise, to rear","飼う, 育てる",criar,membesarkan,우리 엄마는 혼자서 두 아이를 길렀다.,My mom raised two children by herself.,うちの母は一人で二人の子供を育てた。,Mi mamá crió a dos niños ella misma.,Ibu saya membesarkan dua anak seorang diri.,
135,기본,NOUN,basics; basis,基本,base,dasar-dasar; dasar,건강한 생활의 기본은 무엇인가요?,What is the basics of a healthy life?,健康な生活の基本は何でしょうか?,¿Cuáles son las bases para una vida sana?,Apakah dasar hidup sehat? ,
136,기분,NOUN,feelings; mood,"気持ち, 気分","(de) humor, sensación",perasaan,그럴 기분이 아니야.,I'm not in the mood.,そんな気分ではないよ。,No estoy de humor.,Saya sedang tidak selera. ,
137,기숙사,NOUN,dormitory,寮,refugio,asrama (mahasiswa),기숙사 생활은 어때?,How's life in your dormitory?,寮生活はどう?,¿Cómo es tu vida en el nuevo refugio universitario?,Bagaimana kehidupanmu di asrama? ,
138,기억,NOUN,memory,記憶,"recuerdo, memoria",kenangan,그것은 내게 고통스러운 기억이다.,It's a painful memory for me.,それは私にとって苦しい記憶だ。,Es un recuerdo doloroso para mí.,Adalah kenangan yang menyakitkan untuk saya.,
139,기차,NOUN,train,汽車,tren,kereta,방금 기차를 놓쳤어.,I just missed train.,たった今汽車に乗り過ごした。,Acabo de perder el tren.,Saya baru saja ketinggalan kereta.,
140,기회,NOUN,"opportunity, chance",機会,"oportunidad, chance",kesempatan,한 번 더 기회를 주세요.,"Give me another chance, please.",もう一度機会をください。,"Déme otra oportunidad, por favor.","Tolong, berikan saya kesempatan lain.",
141,길,NOUN,"street, road",道,"camino, calle, ruta",jalan,길 건너자.,Let's cross the street.,道を渡ろう。,Crucemos la calle.,"Mari, menyebrang jalan.",
142,길다,ADJ,to be long,長い,"largo, extenso","panjang, lama",겨울에는 낮보다 밤이 길다.,"In the winter, night is longer than day.",冬には昼より夜が長い。,"En el invierno, la noche es más larga que día.",Di musim dingin malam hari lebih lama daripada siang hari.,
143,김밥,NOUN,gimbap (rice rolled in dried laver),のり巻き,gimbap (enrollado de arroz con alga),gimbap (nasi yang digulung dengan rumput laut kering),그는 치즈 김밥을 주문했다.,He ordered cheese gimbap.,彼はチーズのり巻きを注文した。,Él pidió el gimbap de queso.,Dia memesan gimbap keju.,
144,김치,NOUN,kimchi,キムチ,kimchi,kimchi,난 다른 무엇보다 김치가 좋아.,I love Kimchi more than anything else.,私は他の何よりキムチが好き。,Amo el kimchi más que cualquier otra cosa.,Saya suka Kimchi lebih dari apapun.,
145,깊다,ADJ,to be deep,深い,profundo,dalam,물이 이렇게 깊은 줄 몰랐어요.,I didn't know that the water was so deep.,水がこんなに深いとは思わなかったです。,No sabía que el agua era tan profundo.,Saya tidak tahu kalau airnya sangat dalam.,
146,깎다,VERB,"to peel, to cut; to cut down","削る, 切る, 剥く","pelar, cortar ","mengupas,",사과 좀 깎아 줘.,Please peel me an apple.,りんごをちょっと剥いて。,"Córtame una manzana, por favor.",Tolong kupaskan apelnya. ,
147,깨끗하다,ADJ,to be clean,きれいだ,limpio,bersih ,이 방이 깨끗하다고 생각해?,Do you think this room is clean?,この部屋がきれいだと思うの?,¿Piensas que este sitio está limpio?,Kamu pikir ruangan ini bersih?,
148,꺼내다,VERB,"to pull, to take out",取り出す,"sacar, tomar ","mnnarik, mengeluarkan ",나는 지갑에서 돈을 꺼내는 척했어.,I pretended to take out some money from my purse.,私は財布からお金を取り出すふりをしたの。,Fingí tomar dinero de mi monedero.,Saya berpura-pura mengeluarkan beberapa uang dari dompet saya.,
149,꼭,ADV,"surely, certainly, for sure",必ず,"sin lugar a dudas, seguramente",pasti,꼭 갈게.,I'll be there for sure.,必ず行く。,"Estaré allí, sin lugar a dudas.",Pasti saya akan kesana.,
150,꽃,NOUN,flower,花,flor,bunga,한 시간 뒤에 꽃에 물을 줘라.,Water the flowers in an hour.,一時間後に花に水を与えなさい。,Regar las flores en una hora.,Sirami bunga-bunga itu dalam 1(satu)jam.,
151,꿈 | 꿈꾸다,NOUN | VERB,dream | to dream,夢 | 夢みる,sueño; soñar,"mimpi, bermimpi",어젯밤 피자 먹는 꿈을 꾸었다.,I had a dream about eating pizza last night.,昨晩ピザ食べる夢を見た。,Ayer por la noche soñé que estaba comiendo pizza.,Saya telah bermimpi tentang makan pizza tadi malam. ,
152,끄다,VERB,to put out; to switch off,消す,apagar,mematikan,불 껐니?,Did you put out the fire? (or Did you switch off the light?),火消したの? (or 電気消したの?),¿Apagaste la luz?,Apakah anda sudah mematikan apinya? (Atau Apakah anda sudah mematikan lampunya?),
153,끝,NOUN,end,"終り, お仕舞い","último, final","akhir, ujung",그 건물은 이 길의 끝에 있습니다.,The building is at the end of this street.,その建物はこの道のお仕舞いにあります。,El edificio está a lo último de esta calle.,Bangunan itu berada di ujung jalan itu. ,
154,끝나다,VERB,"to end, to come to an end",終わる,"terminar, finalizar, acabar",berakhir,방학이 내일 끝나.,School vacation ends tomorrow.,休みが明日終わる。,Las vacaciones (de la escuela) terminan mañana.,Liburan sekolah berakhir besok.,
155,끝내다,VERB,"to finish, to put an end to",終える,"acabar, terminar, finalizar",menyelesaikan,오늘 안으로 일을 다 끝내야 해.,We have to finish all the work today.,今日中に仕事を全て終えなけねばならない。,Tenemos que acabar todo el trabajo hoy.,Kita harus menyelesaikan semua pekerjaan hari ini.,
156,나,PRONOUN,I,私,yo,saya,누구세요? - 나예요.,Who's there? - It's me.,どなたですか? - 私です。,¿Quién está allí? - Soy yo.,Siapa disana? – Saya,
157,나가다,VERB,to go out,出る,"salir, pasear",pergi keluar,점심 먹으러 나가자.,Let's go out for lunch.,お昼食べに出よう。,Salgamos para el almuerzo.,Mari pergi keluar untuk makan siang. ,
158,나누다,VERB,"to divide, to split; to share",分ける,"dividir, compartir ","membagi, membelah;membagi",그는 맨손으로 사과를 둘로 나누었다.,He split the apple into two with his bare hands.,彼は素手でりんごをふたつに分けた。,Él partió la manzana en dos sólo con sus manos.,Dia membelah apel menjadi dua dengan tangan kosong.,
159,나다,VERB,to grow; to happen,生える; 起こる,suceder,tumbuh; terjadi,앞에 사고가 난 것 같아요.,I guess an accident has happened up ahead.,前で事故が起こったようです。,Presiento que un accidente ha sucedido alli adelante. ,Saya kira kecelakaan telah terjadi. ,
160,나라,NOUN,"country, nation",国,"país, nación",negara,어느 나라에 가고 싶어?,which country do you want to visit?,どの国へ行きたい?,¿qué país deseas visitar?,Negara mana yang ingin anda kunjungi?,
161,나무,NOUN,tree; wood,木,"árbol, madera",pohon; kayu,그 사람 나무 아래에 앉아 있어.,He is sitting under the tree.,その人木の下に座っている。,Él está sentando debajo del árbol.,Dia sedang duduk dibawah pohon.,
162,나쁘다,ADJ,to be bad,悪い,malo,buruk ,그거 어때? - 나쁘지 않네.,How's that? - Not bad.,それどう? - 悪くないね。,¿Cómo estuvo? - No tan malo.,Bagaimana? – Tidak buruk. ,
163,나오다,VERB,to come out,"出る, 出てくる",salir ,keluar,방에서 나오지 마.,Don't come out of your room.,部屋から出るな。,No salgas de tu habitación.,Jangan keluar dari kamar anda. ,
164,나이,NOUN,age,年 (とし),"edad, año",umur,그 여자 나이보다 어려 보여요.,She looks younger than her age.,その女年より幼く見えます。,Ella parece más joven a comparación de la edad que tiene.,Dia terlihat lebih muda daripada umurnya.,
165,나중,NOUN,(-에) later,後,"después (de), luego",(-에)nanti,나중에 보자.,See you later.,後で会おう。,Nos vemos después.,Sampai jumpa nanti. ,
166,나타나다,VERB,to appear,現れる,aparecer,muncul,이전 여자친구가 어젯밤 꿈에 나타났다.,My ex-girlfriend appeared in my dream last night.,昔のガールフレンドが昨晩夢に現われた。,Mi ex-novia apareció en mis sueños ayer por la noche.,Mantan pacar saya muncul dalam mimpi saya tadi malam.,
167,나타내다,VERB,"to show, to express",現わす,"expresar, significar",menunjukkan,그녀의 눈이 진짜 마음을 나타내고 있었다.,Her eyes expressed her true feelings.,彼女の目が本当の気持ちを現わしていた。,Sus ojos expresaron sus verdaderos sentimientos.,Matanya menunjukkan perasaannya,
168,날,NOUN,day,日,día,hari,내일은 특별한 날이야.,Tomorrow is a special day. ,明日は特別な日だ。,Mañana es un día especial.,Besok adalah hari special.,
169,날다,VERB,fly,飛ぶ,volar,terbang,높이 나는 새가 멀리 본다.,"The highter a bird flies, the farther it can see.",高く飛ぶ鳥が遠くを見る。,"Más alto vuela el pajaro, más lejos puede ver.","Semakin tinggi seekor burung terbang, semakin jauh dapat melihat. ",
170,날씨,NOUN,weather,天気,"clima, tiempo",cuaca,날씨 어때?,How is the weather? ,天気どう?,¿Cómo está el clima?,Bagaimana cuacanya? ,
171,날짜,NOUN,date ,日付,"fecha, día",tanggal,오늘 날짜가 어떻게 되죠?,What's the date today? ,今日何月何日ですが?,¿Qué fecha hoy?,Tanggal berapa hari ini?,
172,남기다,VERB,to leave,残す,dejar,meninggalkan,메시지 남겨 주세요.,Leave a message.,メッセージ残してください。,Déjame un mensaje.,Tinggalkan pesan.,
173,남녀,NOUN,a man and a woman,男女,hombre y mujer,laki-laki dan wanita,남녀관계는 아무도 모른다.,No one can know the relationship between a man and a woman.,男女関係は誰も分からない。,Nadie pueden saber la relación entre un hombre y una mujer.,Tak seorangpun tahu hubungan antara laki-laki dan wanita.,
174,남다,VERB,"to remain, to be left",残る,"sobrar, ser dejado",tersisa,먹을 게 하나도 안 남았어.,There's no food left over.,食べ物が一つも残らなかった。,No sobró comida.,Tidak ada makanan yang tersisa.,
175,남동생,NOUN,younger brother ,弟,hermano menor,adik laki-laki,얘가 내 남동생이야.,This is my younger brother.,この子が私の弟だ。,Éste es mi hermano menor.,Ini adalah adik laki-laki saya.,
176,남성,NOUN,"man, male",男性,"hombre, macho, masculino","laki-laki,",일반적으로 여성이 남성에 비해 오래 산다.,"Generally speaking, a woman will live longer than a man.",一般的に女性が男性に比べて長生きする。,"Generalmente, la mujer vive más que el hombre.",Biasanya seorang wanita akan hidup lebih lama daripada seorang laki-laki. ,
177,남자,NOUN,man,男,hombre,pria,그녀는 가정적인 남자를 찾고 있다.,She is looking for a family man.,彼女は家庭的な男を探している。,Ella está buscando un hombre de hogar.,Dia sedang mencari keluarga pria. ,
178,남쪽,NOUN,south,"南, 南側",sur,selatan,어느 쪽이 남쪽입니까?,Which way is south?,どっちが南側ですか?,¿En qué dirección está el Sur?,Kemana arah selatan? ,
